common_name,taxonomic_index,alphabetic_index,scientific_name,alpha_code,order,family,bioacoustic_category,description,high_or_low,bandpass_low_freq,bandpass_high_freq,typical_duration_ms,median_duration,approx_duration,oldbird_spectrogram,oldbird_nocturnal_spectrogram,oldbird_link,images,audio
Bohemian Waxwing,848,115,Bombycilla garrulus,BOWA,Passeriformes,Bombycillidae,,,,,,,,,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,,
Cedar Waxwing,849,176,Bombycilla cedrorum,CEDW,Passeriformes,Bombycillidae,,,High,4000.0,11024.0,,0.192,0.2,,,No OldBird page,"['media/CEDW/spectrograms/CAFO1_20170909_201500_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_9714.681999999999_9714.985.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1377.888_1378.037.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1374.624_1374.645.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1419.36_1419.4129999999998.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1405.099_1405.3010000000002.jpg', 'media/CEDW/spectrograms/BERI1-20180901_203100_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_10428.302_10428.5.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1391.733_1391.925.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1380.757_1380.832.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1382.976_1383.1470000000002.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1380.9389999999999_1381.131.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1399.9360000000001_1400.192.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1409.045_1409.099.jpg', 'media/CEDW/spectrograms/CAFO1_20170831_203200_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_15602.229_15602.357.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_16582.091_16582.346999999998.jpg', 'media/CEDW/spectrograms/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1401.717_1402.08.jpg', 'media/CEDW/spectrograms/BERI1-20180901_203100_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_10433.759_10434.014000000001.jpg']","['media/CEDW/audio/CAFO1_20170909_201500_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_9714.681999999999_9714.985.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1377.888_1378.037.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1374.624_1374.645.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1419.36_1419.4129999999998.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1405.099_1405.3010000000002.wav', 'media/CEDW/audio/BERI1-20180901_203100_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_10428.302_10428.5.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1391.733_1391.925.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1380.757_1380.832.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1382.976_1383.1470000000002.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1380.9389999999999_1381.131.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1399.9360000000001_1400.192.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1409.045_1409.099.wav', 'media/CEDW/audio/CAFO1_20170831_203200_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_15602.229_15602.357.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_16582.091_16582.346999999998.wav', 'media/CEDW/audio/CAFO1_20171010_191800_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_1401.717_1402.08.wav', 'media/CEDW/audio/BERI1-20180901_203100_PASSERIFORMES_BOMBYCILLIDAE_BOMBYCILLA_CEDRORUM_CEDW_10433.759_10434.014000000001.wav']"
Phainopepla,852,489,Phainopepla nitens,PHAI,Passeriformes,Ptiliogonatidae,,,,,,,,,,,No OldBird page,,
Red-breasted Nuthatch,860,524,Sitta canadensis,RBNU,Passeriformes,Sittidae,,,Low,1000.0,6000.0,,0.10400000000000001,0.1,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,"['media/RBNU/spectrograms/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26605.854_26605.935.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10758.431999999999_10758.513.jpg', 'media/RBNU/spectrograms/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26466.36_26466.441000000003.jpg', 'media/RBNU/spectrograms/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26605.412_26605.505.jpg', 'media/RBNU/spectrograms/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26466.894_26466.929.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11701.336000000001_11701.464.jpg', 'media/RBNU/spectrograms/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_7804.703_7804.795999999999.jpg', 'media/RBNU/spectrograms/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_7819.621999999999_7819.726.jpg', 'media/RBNU/spectrograms/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26467.439_26467.474.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11700.918_11701.034.jpg', 'media/RBNU/spectrograms/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_7820.655_7820.783.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11699.444_11699.502.jpg', 'media/RBNU/spectrograms/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_29104.785_29104.924.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11699.827_11699.92.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11700.187_11700.303.jpg', 'media/RBNU/spectrograms/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_29105.621_29105.76.jpg', 'media/RBNU/spectrograms/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26605.052000000003_26605.122000000003.jpg', 'media/RBNU/spectrograms/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_7826.831_7826.878000000001.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10763.401000000002_10763.482.jpg', 'media/RBNU/spectrograms/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_7820.085999999999_7820.214.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10763.819_10763.923.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10764.423_10764.538999999999.jpg', 'media/RBNU/spectrograms/SWGH-20130915_194400_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_14297.035_14297.098999999998.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10757.513_10757.597.jpg', 'media/RBNU/spectrograms/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_29105.215_29105.377.jpg', 'media/RBNU/spectrograms/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_29104.39_29104.495.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10758.002_10758.037.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10758.962_10759.081.jpg', 'media/RBNU/spectrograms/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_29106.016_29106.178.jpg', 'media/RBNU/spectrograms/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11700.57_11700.673999999999.jpg']","['media/RBNU/audio/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26605.854_26605.935.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10758.431999999999_10758.513.wav', 'media/RBNU/audio/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26466.36_26466.441000000003.wav', 'media/RBNU/audio/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26605.412_26605.505.wav', 'media/RBNU/audio/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26466.894_26466.929.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11701.336000000001_11701.464.wav', 'media/RBNU/audio/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_7804.703_7804.795999999999.wav', 'media/RBNU/audio/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_7819.621999999999_7819.726.wav', 'media/RBNU/audio/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26467.439_26467.474.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11700.918_11701.034.wav', 'media/RBNU/audio/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_7820.655_7820.783.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11699.444_11699.502.wav', 'media/RBNU/audio/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_29104.785_29104.924.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11699.827_11699.92.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11700.187_11700.303.wav', 'media/RBNU/audio/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_29105.621_29105.76.wav', 'media/RBNU/audio/BERI1-20180912_201000_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_26605.052000000003_26605.122000000003.wav', 'media/RBNU/audio/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_7826.831_7826.878000000001.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10763.401000000002_10763.482.wav', 'media/RBNU/audio/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_7820.085999999999_7820.214.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10763.819_10763.923.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10764.423_10764.538999999999.wav', 'media/RBNU/audio/SWGH-20130915_194400_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_14297.035_14297.098999999998.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10757.513_10757.597.wav', 'media/RBNU/audio/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_29105.215_29105.377.wav', 'media/RBNU/audio/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_29104.39_29104.495.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10758.002_10758.037.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_10758.962_10759.081.wav', 'media/RBNU/audio/BERI1-20180821_205100_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_29106.016_29106.178.wav', 'media/RBNU/audio/BERI1-20180820_205200_PASSERIFORMES_SITTIDAE_SITTA_CANADENSIS_RBNU_11700.57_11700.673999999999.wav']"
White-breasted Nuthatch,861,681,Sitta carolinensis,WBNU,Passeriformes,Sittidae,,,,,,,,,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,,
Pygmy Nuthatch,862,512,Sitta pygmaea,PYNU,Passeriformes,Sittidae,,,,,,,,,,,No OldBird page,,
Brown-headed Nuthatch,863,139,Sitta pusilla,BHNU,Passeriformes,Sittidae,,,,,,,,,,,No OldBird page,,
Brown Creeper,865,132,Certhia americana,BRCR,Passeriformes,Certhiidae,,,High,5000.0,11024.0,,0.036000000000000004,0.05,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,"['media/BRCR/spectrograms/A2WA_20150509_210800_PASSERIFORMES_CERTHIIDAE_CERTHIA_AMERICANA_BRCR_4404.959_4404.996.jpg', 'media/BRCR/spectrograms/CAWRR-20151106_173800_PASSERIFORMES_CERTHIIDAE_CERTHIA_AMERICANA_BRCR_40940.239_40940.274.jpg']","['media/BRCR/audio/A2WA_20150509_210800_PASSERIFORMES_CERTHIIDAE_CERTHIA_AMERICANA_BRCR_4404.959_4404.996.wav', 'media/BRCR/audio/CAWRR-20151106_173800_PASSERIFORMES_CERTHIIDAE_CERTHIA_AMERICANA_BRCR_40940.239_40940.274.wav']"
Blue-gray Gnatcatcher,867,107,Polioptila caerulea,BGGN,Passeriformes,Polioptilidae,,,,,,,,,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,,
Black-tailed Gnatcatcher,868,96,Polioptila melanura,BTGN,Passeriformes,Polioptilidae,,,,,,,,,,,No OldBird page,,
California Gnatcatcher,869,151,Polioptila californica,CAGN,Passeriformes,Polioptilidae,,,,,,,,,,,No OldBird page,,
Rock Wren,872,557,Salpinctes obsoletus,ROWR,Passeriformes,Troglodytidae,,,,,,,,,,,No OldBird page,,
Canyon Wren,873,163,Catherpes mexicanus,CANW,Passeriformes,Troglodytidae,,,,,,,,,,,No OldBird page,,
House Wren,874,348,Troglodytes aedon,HOWR,Passeriformes,Troglodytidae,,,,,,,,,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,,
Pacific Wren,875,478,Troglodytes pacificus,PAWR,Passeriformes,Troglodytidae,,,,,,,,,,,No OldBird page,,
Winter Wren,876,711,Troglodytes hiemalis,WIWR,Passeriformes,Troglodytidae,,,,,,,,,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,,
Sedge Wren,877,592,Cistothorus stellaris,SEWR,Passeriformes,Troglodytidae,,,,,,,,,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,,
Marsh Wren,878,417,Cistothorus palustris,MAWR,Passeriformes,Troglodytidae,,,,,,,,,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,,
Carolina Wren,879,166,Thryothorus ludovicianus,CARW,Passeriformes,Troglodytidae,,,,,,,,,,,No OldBird page,,
Bewick's Wren,880,62,Thryomanes bewickii,BEWR,Passeriformes,Troglodytidae,,,,,,,,,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,,
Cactus Wren,881,149,Campylorhynchus brunneicapillus,CACW,Passeriformes,Troglodytidae,,,,,,,,,,,No OldBird page,,
Gray Catbird,885,279,Dumetella carolinensis,GRCA,Passeriformes,Mimidae,,,"Low, Middle, High",1000.0,10000.0,,0.1,0.1,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,"['media/GRCA/spectrograms/BERI1-20181101_184500_PASSERIFORMES_MIMIDAE_DUMETELLA_CAROLINENSIS_GRCA_29284.72_29284.792999999998.jpg', 'media/GRCA/spectrograms/AMST3_20160915_195000_PASSERIFORMES_MIMIDAE_DUMETELLA_CAROLINENSIS_GRCA_5833.706999999999_5833.835.jpg']","['media/GRCA/audio/BERI1-20181101_184500_PASSERIFORMES_MIMIDAE_DUMETELLA_CAROLINENSIS_GRCA_29284.72_29284.792999999998.wav', 'media/GRCA/audio/AMST3_20160915_195000_PASSERIFORMES_MIMIDAE_DUMETELLA_CAROLINENSIS_GRCA_5833.706999999999_5833.835.wav']"
Curve-billed Thrasher,886,222,Toxostoma curvirostre,CBTH,Passeriformes,Mimidae,,,,,,,,,,,No OldBird page,,
Brown Thrasher,887,135,Toxostoma rufum,BRTH,Passeriformes,Mimidae,,,"Low, Middle, High",1000.0,10000.0,,0.026000000000000002,0.05,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,['media/BRTH/spectrograms/CAWRR-20150921_195200_PASSERIFORMES_MIMIDAE_TOXOSTOMA_RUFUM_BRTH_38972.291_38972.317.jpg'],['media/BRTH/audio/CAWRR-20150921_195200_PASSERIFORMES_MIMIDAE_TOXOSTOMA_RUFUM_BRTH_38972.291_38972.317.wav']
Long-billed Thrasher,888,401,Toxostoma longirostre,LBTH,Passeriformes,Mimidae,,,,,,,,,,,No OldBird page,,
Bendire's Thrasher,889,61,Toxostoma bendirei,BETH,Passeriformes,Mimidae,,,,,,,,,,,No OldBird page,,
California Thrasher,890,155,Toxostoma redivivum,CATH,Passeriformes,Mimidae,,,,,,,,,,,No OldBird page,,
LeConte's Thrasher,891,379,Toxostoma lecontei,LCTH,Passeriformes,Mimidae,,,,,,,,,,,No OldBird page,,
Crissal Thrasher,892,221,Toxostoma crissale,CRTH,Passeriformes,Mimidae,,,,,,,,,,,No OldBird page,,
Sage Thrasher,893,577,Oreoscoptes montanus,SATH,Passeriformes,Mimidae,,,,,,,,,,,No OldBird page,,
Northern Mockingbird,895,454,Mimus polyglottos,NOMO,Passeriformes,Mimidae,,,Low,0.1,5000.0,,0.046,0.05,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,"['media/NOMO/spectrograms/BERI1-20181005_192946_PASSERIFORMES_MIMIDAE_MIMUS_POLYGLOTTOS_NOMO_34139.754_34139.8.jpg', 'media/NOMO/spectrograms/BERI1-20181005_192946_PASSERIFORMES_MIMIDAE_MIMUS_POLYGLOTTOS_NOMO_34129.617999999995_34129.653.jpg', 'media/NOMO/spectrograms/BERI1-20181005_192946_PASSERIFORMES_MIMIDAE_MIMUS_POLYGLOTTOS_NOMO_34133.612_34133.682.jpg', 'media/NOMO/spectrograms/BERI1-20181005_192946_PASSERIFORMES_MIMIDAE_MIMUS_POLYGLOTTOS_NOMO_34136.212999999996_34136.259.jpg']","['media/NOMO/audio/BERI1-20181005_192946_PASSERIFORMES_MIMIDAE_MIMUS_POLYGLOTTOS_NOMO_34139.754_34139.8.wav', 'media/NOMO/audio/BERI1-20181005_192946_PASSERIFORMES_MIMIDAE_MIMUS_POLYGLOTTOS_NOMO_34129.617999999995_34129.653.wav', 'media/NOMO/audio/BERI1-20181005_192946_PASSERIFORMES_MIMIDAE_MIMUS_POLYGLOTTOS_NOMO_34133.612_34133.682.wav', 'media/NOMO/audio/BERI1-20181005_192946_PASSERIFORMES_MIMIDAE_MIMUS_POLYGLOTTOS_NOMO_34136.212999999996_34136.259.wav']"
European Starling,897,252,Sturnus vulgaris,EUST,Passeriformes,Sturnidae,,,,,,,,,N,N,http://oldbird.org/pubs/fcmb/species/doves/wcpi/wcpi.htm,,
Common Myna,898,204,Acridotheres tristis,COMY,Passeriformes,Sturnidae,,,,,,,,,,,No OldBird page,,
American Dipper,900,17,Cinclus mexicanus,AMDI,Passeriformes,Cinclidae,,,,,,,,,,,No OldBird page,,
